CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
89;CH;112122;D;30;Verde;468;;1
90;CH;89113;E;24;Verde;468;;1
91;CN;61264;B;14;Verde;467;;1
92;CN;11526;C;21;Verde;467;;1
93;CN;111506;A;4;Verde;467;;1
94;CN;111408;C;6;Verde;467;;1
95;CN;66646;E;15;Verde;467;;1
96;CN;27417;E;22;Verde;467;;1
97;CN;40203;B;24;Verde;467;;1
98;CN;17449;B;20;Verde;467;;1
99;CN;111456;B;2;Verde;467;;1
100;CN;87205;D;23;Verde;467;;1
101;CN;46621;A;24;Verde;467;;1
102;CN;85700;C;16;Verde;467;;1
103;CN;83440;E;20;Verde;467;;1
104;CN;62289;D;9;Verde;467;;1
105;CN;87724;E;28;Verde;467;;1
106;CN;89518;C;5;Verde;467;;1
107;CN;111653;A;2;Verde;467;;1
108;CN;59858;A;25;Verde;467;;1
109;CN;86222;D;23;Verde;467;;1
110;CN;43554;D;5;Verde;467;;1
111;CN;76029;D;8;Verde;467;;1
112;CN;111533;A;3;Verde;467;;1
113;CN;76034;B;22;Verde;467;;1
114;CN;82909;D;29;Verde;467;;1
115;CN;12591;B;28;Verde;467;;1
116;CN;67958;C;19;Verde;467;;1
117;CN;82306;C;1;Verde;467;;1
118;CN;60359;A;18;Verde;467;;1
119;CN;111394;C;26;Verde;467;;1
120;CN;62499;D;17;Verde;467;;1
121;CN;88496;C;11;Verde;467;;1
122;CN;12199;B;17;Verde;467;;1
123;CN;111720;C;30;Verde;467;;1
124;CN;111395;E;6;Verde;467;;1
125;CN;39342;D;21;Verde;467;;1
126;CN;111635;E;14;Verde;467;;1
127;CN;111630;D;19;Verde;467;;1
128;CN;111463;A;1;Verde;467;;1
129;CN;111411;B;10;Verde;467;;1
130;CN;97446;E;13;Verde;467;;1
131;CN;111564;B;3;Verde;467;;1
132;CN;111414;E;27;Verde;467;;1
133;CN;111761;A;7;Verde;467;;1
134;CN;111637;E;9;Verde;467;;1
135;CN;111612;A;12;Verde;467;;1
91;CN;61264;B;14;Laranja;463;;0
92;CN;11526;C;21;Laranja;463;;0
93;CN;111506;A;4;Laranja;463;;0
94;CN;111408;C;6;Laranja;463;;0
95;CN;66646;E;15;Laranja;463;;0
96;CN;39540;E;9;Laranja;463;;0
97;CN;40203;B;24;Laranja;463;;0
98;CN;17449;B;20;Laranja;463;;0
99;CN;89116;B;27;Laranja;463;;0
100;CN;87205;D;23;Laranja;463;;0
101;CN;46621;A;24;Laranja;463;;0
102;CN;85700;C;16;Laranja;463;;0
103;CN;83440;E;20;Laranja;463;;0
104;CN;62289;D;9;Laranja;463;;0
105;CN;87724;E;28;Laranja;463;;0
106;CN;89518;C;5;Laranja;463;;0
107;CN;111653;A;2;Laranja;463;;0
108;CN;59858;A;25;Laranja;463;;0
109;CN;86222;D;23;Laranja;463;;0
110;CN;43554;D;5;Laranja;463;;0
111;CN;25249;D;6;Laranja;463;;0
112;CN;111533;A;3;Laranja;463;;0
113;CN;88446;B;23;Laranja;463;;0
114;CN;82909;D;29;Laranja;463;;0
115;CN;12591;B;28;Laranja;463;;0
116;CN;67958;C;19;Laranja;463;;0
117;CN;82306;C;1;Laranja;463;;0
118;CN;60359;A;18;Laranja;463;;0
119;CN;111394;C;26;Laranja;463;;0
120;CN;26777;D;28;Laranja;463;;0
121;CN;88496;C;11;Laranja;463;;0
122;CN;10754;B;8;Laranja;463;;0
123;CN;111720;C;30;Laranja;463;;0
124;CN;111395;E;6;Laranja;463;;0
125;CN;39342;D;21;Laranja;463;;0
126;CN;111635;E;14;Laranja;463;;0
127;CN;35666;D;1;Laranja;463;;0
128;CN;97365;A;21;Laranja;463;;0
129;CN;86423;B;26;Laranja;463;;0
130;CN;31787;E;30;Laranja;463;;0
131;CN;111564;B;3;Laranja;463;;0
132;CN;111414;E;27;Laranja;463;;0
133;CN;111761;A;7;Laranja;463;;0
134;CN;111637;E;9;Laranja;463;;0
135;CN;111612;A;12;Laranja;463;;0
1;LC;87035;B;5;Laranja;465;0;0
2;LC;87507;B;6;Laranja;465;0;0
3;LC;95804;D;8;Laranja;465;0;0
4;LC;13652;E;7;Laranja;465;0;0
5;LC;85387;C;6;Laranja;465;0;0
1;LC;84836;B;5;Laranja;465;1;0
2;LC;88480;B;5;Laranja;465;1;0
3;LC;32893;C;5;Laranja;465;1;0
4;LC;55925;D;6;Laranja;465;1;0
5;LC;59531;B;7;Laranja;465;1;0
6;LC;111829;C;24;Laranja;465;;0
7;LC;111931;E;25;Laranja;465;;0
8;LC;97995;C;26;Laranja;465;;0
9;LC;112051;B;28;Laranja;465;;0
10;LC;97968;A;17;Laranja;465;;0
11;LC;112018;B;12;Laranja;465;;0
12;LC;78076;D;19;Laranja;465;;0
13;LC;9065;B;10;Laranja;465;;0
14;LC;111896;E;3;Laranja;465;;0
15;LC;24528;D;16;Laranja;465;;0
16;LC;96758;A;17;Laranja;465;;0
17;LC;83517;C;18;Laranja;465;;0
18;LC;89331;D;24;Laranja;465;;0
19;LC;89487;D;4;Laranja;465;;0
20;LC;112076;B;17;Laranja;465;;0
21;LC;112092;B;27;Laranja;465;;0
22;LC;111948;B;20;Laranja;465;;0
23;LC;24007;E;15;Laranja;465;;0
24;LC;111970;A;19;Laranja;465;;0
25;LC;23230;D;14;Laranja;465;;0
26;LC;25943;E;11;Laranja;465;;0
27;LC;68242;C;23;Laranja;465;;0
28;LC;112143;A;21;Laranja;465;;0
29;LC;23744;C;12;Laranja;465;;0
30;LC;6818;E;16;Laranja;465;;0
31;LC;112066;D;9;Laranja;465;;0
32;LC;23615;B;14;Laranja;465;;0
33;LC;76800;E;1;Laranja;465;;0
34;LC;112150;B;14;Laranja;465;;0
35;LC;112101;A;17;Laranja;465;;0
36;LC;82889;B;22;Laranja;465;;0
37;LC;112113;C;21;Laranja;465;;0
38;LC;64063;B;18;Laranja;465;;0
39;LC;112054;E;2;Laranja;465;;0
40;LC;97416;A;28;Laranja;465;;0
41;LC;112041;E;21;Laranja;465;;0
42;LC;89028;C;15;Laranja;465;;0
43;LC;8562;A;9;Laranja;465;;0
44;LC;111884;D;29;Laranja;465;;0
45;LC;112053;A;30;Laranja;465;;0
1;LC;87035;B;5;Verde;469;0;1
2;LC;87507;B;6;Verde;469;0;1
3;LC;95804;D;8;Verde;469;0;1
4;LC;13652;E;7;Verde;469;0;1
5;LC;85387;C;6;Verde;469;0;1
1;LC;84836;B;5;Verde;469;1;1
2;LC;88480;B;5;Verde;469;1;1
3;LC;32893;C;5;Verde;469;1;1
4;LC;55925;D;6;Verde;469;1;1
5;LC;59531;B;7;Verde;469;1;1
6;LC;111829;C;24;Verde;469;;1
7;LC;111931;E;25;Verde;469;;1
8;LC;97995;C;26;Verde;469;;1
9;LC;112051;B;28;Verde;469;;1
10;LC;97968;A;17;Verde;469;;1
11;LC;112018;B;12;Verde;469;;1
12;LC;78076;D;19;Verde;469;;1
13;LC;9065;B;10;Verde;469;;1
14;LC;111896;E;3;Verde;469;;1
15;LC;24528;D;16;Verde;469;;1
16;LC;96758;A;17;Verde;469;;1
17;LC;83517;C;18;Verde;469;;1
18;LC;89331;D;24;Verde;469;;1
19;LC;89487;D;4;Verde;469;;1
20;LC;112076;B;17;Verde;469;;1
21;LC;112092;B;27;Verde;469;;1
22;LC;111948;B;20;Verde;469;;1
23;LC;24007;E;15;Verde;469;;1
24;LC;111970;A;19;Verde;469;;1
25;LC;23230;D;14;Verde;469;;1
26;LC;25943;E;11;Verde;469;;1
27;LC;68242;C;23;Verde;469;;1
28;LC;112143;A;21;Verde;469;;1
29;LC;23744;C;12;Verde;469;;1
30;LC;6818;E;16;Verde;469;;1
31;LC;112066;D;9;Verde;469;;1
32;LC;23615;B;14;Verde;469;;1
33;LC;76800;E;1;Verde;469;;1
34;LC;112150;B;14;Verde;469;;1
35;LC;112101;A;17;Verde;469;;1
36;LC;82889;B;22;Verde;469;;1
37;LC;112113;C;21;Verde;469;;1
38;LC;64063;B;18;Verde;469;;1
39;LC;112054;E;2;Verde;469;;1
40;LC;97416;A;28;Verde;469;;1
41;LC;112041;E;21;Verde;469;;1
42;LC;89028;C;15;Verde;469;;1
43;LC;8562;A;9;Verde;469;;1
44;LC;111884;D;29;Verde;469;;1
45;LC;112053;A;30;Verde;469;;1
136;MT;111524;A;10;Verde;470;;1
137;MT;97059;D;4;Verde;470;;1
138;MT;48921;A;19;Verde;470;;1
139;MT;111594;E;7;Verde;470;;1
140;MT;28815;D;29;Verde;470;;1
141;MT;29500;A;11;Verde;470;;1
142;MT;82367;B;5;Verde;470;;1
143;MT;111512;B;24;Verde;470;;1
144;MT;111557;C;11;Verde;470;;1
145;MT;84768;A;19;Verde;470;;1
146;MT;111609;A;9;Verde;470;;1
147;MT;111487;D;27;Verde;470;;1
148;MT;86027;B;22;Verde;470;;1
149;MT;62736;E;2;Verde;470;;1
150;MT;30294;X;4;Verde;470;;1
151;MT;66805;E;20;Verde;470;;1
152;MT;15292;B;16;Verde;470;;1
153;MT;111468;B;5;Verde;470;;1
154;MT;32905;D;27;Verde;470;;1
155;MT;111692;E;6;Verde;470;;1
156;MT;98294;E;25;Verde;470;;1
157;MT;111725;A;26;Verde;470;;1
158;MT;86988;D;13;Verde;470;;1
159;MT;30331;C;3;Verde;470;;1
160;MT;29938;C;3;Verde;470;;1
161;MT;83742;C;2;Verde;470;;1
162;MT;12922;C;28;Verde;470;;1
163;MT;53559;D;28;Verde;470;;1
164;MT;82123;A;1;Verde;470;;1
165;MT;111477;C;18;Verde;470;;1
166;MT;32189;E;22;Verde;470;;1
167;MT;32953;D;25;Verde;470;;1
168;MT;5990;D;21;Verde;470;;1
169;MT;98070;A;8;Verde;470;;1
170;MT;85892;B;12;Verde;470;;1
171;MT;111523;C;17;Verde;470;;1
172;MT;18456;B;21;Verde;470;;1
173;MT;61172;C;26;Verde;470;;1
174;MT;111628;A;15;Verde;470;;1
175;MT;111535;A;14;Verde;470;;1
176;MT;86801;E;29;Verde;470;;1
177;MT;111554;B;23;Verde;470;;1
178;MT;96201;B;20;Verde;470;;1
179;MT;15884;D;8;Verde;470;;1
180;MT;111434;D;30;Verde;470;;1
136;MT;111524;A;10;Laranja;466;;0
137;MT;97059;D;4;Laranja;466;;0
138;MT;48921;A;19;Laranja;466;;0
139;MT;111594;E;7;Laranja;466;;0
140;MT;28815;D;29;Laranja;466;;0
141;MT;29500;A;11;Laranja;466;;0
142;MT;82367;B;5;Laranja;466;;0
143;MT;111512;B;24;Laranja;466;;0
144;MT;111557;C;11;Laranja;466;;0
145;MT;84768;A;19;Laranja;466;;0
146;MT;55202;A;3;Laranja;466;;0
147;MT;111487;D;27;Laranja;466;;0
148;MT;86027;B;22;Laranja;466;;0
149;MT;62736;E;2;Laranja;466;;0
150;MT;30294;X;4;Laranja;466;;0
151;MT;66805;E;20;Laranja;466;;0
152;MT;15292;B;16;Laranja;466;;0
153;MT;111468;B;5;Laranja;466;;0
154;MT;32905;D;27;Laranja;466;;0
155;MT;111692;E;6;Laranja;466;;0
156;MT;98294;E;25;Laranja;466;;0
157;MT;111725;A;26;Laranja;466;;0
158;MT;86988;D;13;Laranja;466;;0
159;MT;30331;C;3;Laranja;466;;0
160;MT;29938;C;3;Laranja;466;;0
161;MT;83742;C;2;Laranja;466;;0
162;MT;12922;C;28;Laranja;466;;0
163;MT;53559;D;28;Laranja;466;;0
164;MT;82123;A;1;Laranja;466;;0
165;MT;111477;C;18;Laranja;466;;0
166;MT;32189;E;22;Laranja;466;;0
167;MT;32953;D;25;Laranja;466;;0
168;MT;5990;D;21;Laranja;466;;0
169;MT;98070;A;8;Laranja;466;;0
170;MT;85892;B;12;Laranja;466;;0
171;MT;111523;C;17;Laranja;466;;0
172;MT;18456;B;21;Laranja;466;;0
173;MT;61172;C;26;Laranja;466;;0
174;MT;111628;A;15;Laranja;466;;0
175;MT;111535;A;14;Laranja;466;;0
176;MT;111718;E;29;Laranja;466;;0
177;MT;111554;B;23;Laranja;466;;0
178;MT;96201;B;20;Laranja;466;;0
179;MT;15884;D;8;Laranja;466;;0
180;MT;111434;D;30;Laranja;466;;0
1;LC;90119;B;5;Azul;495;0;0
2;LC;98220;D;7;Azul;495;0;0
3;LC;17817;A;6;Azul;495;0;0
4;LC;90002;A;7;Azul;495;0;0
5;LC;17485;B;5;Azul;495;0;0
1;LC;55933;C;6;Azul;495;1;0
2;LC;7212;A;6;Azul;495;1;0
3;LC;61229;E;5;Azul;495;1;0
4;LC;97229;C;6;Azul;495;1;0
5;LC;96786;E;5;Azul;495;1;0
6;LC;86761;C;22;Azul;495;;0
7;LC;37758;D;24;Azul;495;;0
8;LC;16760;D;1;Azul;495;;0
9;LC;85647;D;28;Azul;495;;0
10;LC;86449;E;23;Azul;495;;0
11;LC;22654;B;20;Azul;495;;0
12;LC;27299;B;30;Azul;495;;0
13;LC;79142;E;21;Azul;495;;0
14;LC;61878;E;26;Azul;495;;0
15;LC;95682;C;4;Azul;495;;0
16;LC;84446;C;12;Azul;495;;0
17;LC;22904;E;15;Azul;495;;0
18;LC;86504;E;28;Azul;495;;0
19;LC;67551;A;19;Azul;495;;0
20;LC;76042;E;1;Azul;495;;0
21;LC;56161;A;14;Azul;495;;0
22;LC;83856;E;30;Azul;495;;0
23;LC;77697;C;1;Azul;495;;0
24;LC;86194;A;18;Azul;495;;0
25;LC;83845;E;18;Azul;495;;0
26;LC;76784;B;1;Azul;495;;0
27;LC;25923;B;12;Azul;495;;0
28;LC;50016;E;18;Azul;495;;0
29;LC;81987;C;12;Azul;495;;0
30;LC;86600;B;1;Azul;495;;0
31;LC;96873;E;12;Azul;495;;0
32;LC;97679;A;17;Azul;495;;0
33;LC;97412;B;16;Azul;495;;0
34;LC;98173;E;14;Azul;495;;0
35;LC;87157;A;16;Azul;495;;0
36;LC;96729;C;15;Azul;495;;0
37;LC;89496;E;15;Azul;495;;0
38;LC;31871;C;11;Azul;495;;0
39;LC;89563;C;16;Azul;495;;0
40;LC;54762;B;15;Azul;495;;0
41;LC;98224;D;30;Azul;495;;0
42;LC;23160;B;27;Azul;495;;0
43;LC;86243;E;11;Azul;495;;0
44;LC;30102;E;9;Azul;495;;0
45;LC;86700;B;9;Azul;495;;0
1;LC;90119;B;5;Amarela;496;0;0
2;LC;17485;B;5;Amarela;496;0;0
3;LC;90002;A;7;Amarela;496;0;0
4;LC;17817;A;6;Amarela;496;0;0
5;LC;98220;D;7;Amarela;496;0;0
1;LC;7212;A;6;Amarela;496;1;0
2;LC;55933;C;6;Amarela;496;1;0
3;LC;61229;E;5;Amarela;496;1;0
4;LC;96786;E;5;Amarela;496;1;0
5;LC;97229;C;6;Amarela;496;1;0
6;LC;79142;E;21;Amarela;496;;0
7;LC;27299;B;30;Amarela;496;;0
8;LC;86761;C;22;Amarela;496;;0
9;LC;86504;E;28;Amarela;496;;0
10;LC;67551;A;19;Amarela;496;;0
11;LC;76042;E;1;Amarela;496;;0
12;LC;37758;D;24;Amarela;496;;0
13;LC;16760;D;1;Amarela;496;;0
14;LC;56161;A;14;Amarela;496;;0
15;LC;83856;E;30;Amarela;496;;0
16;LC;77697;C;1;Amarela;496;;0
17;LC;85647;D;28;Amarela;496;;0
18;LC;86449;E;23;Amarela;496;;0
19;LC;22654;B;20;Amarela;496;;0
20;LC;61878;E;26;Amarela;496;;0
21;LC;95682;C;4;Amarela;496;;0
22;LC;84446;C;12;Amarela;496;;0
23;LC;22904;E;15;Amarela;496;;0
24;LC;50016;E;18;Amarela;496;;0
25;LC;81987;C;12;Amarela;496;;0
26;LC;86600;B;1;Amarela;496;;0
27;LC;96873;E;12;Amarela;496;;0
28;LC;97679;A;17;Amarela;496;;0
29;LC;86194;A;18;Amarela;496;;0
30;LC;83845;E;18;Amarela;496;;0
31;LC;76784;B;1;Amarela;496;;0
32;LC;25923;B;12;Amarela;496;;0
33;LC;87157;A;16;Amarela;496;;0
34;LC;96729;C;15;Amarela;496;;0
35;LC;89496;E;15;Amarela;496;;0
36;LC;97412;B;16;Amarela;496;;0
37;LC;98173;E;14;Amarela;496;;0
38;LC;23160;B;27;Amarela;496;;0
39;LC;86243;E;11;Amarela;496;;0
40;LC;30102;E;9;Amarela;496;;0
41;LC;86700;B;9;Amarela;496;;0
42;LC;31871;C;11;Amarela;496;;0
43;LC;89563;C;16;Amarela;496;;0
44;LC;54762;B;15;Amarela;496;;0
45;LC;98224;D;30;Amarela;496;;0
1;LC;90119;B;5;Branca;497;0;0
2;LC;17485;B;5;Branca;497;0;0
3;LC;17817;A;6;Branca;497;0;0
4;LC;90002;A;7;Branca;497;0;0
5;LC;98220;D;7;Branca;497;0;0
1;LC;61229;E;5;Branca;497;1;0
2;LC;7212;A;6;Branca;497;1;0
3;LC;55933;C;6;Branca;497;1;0
4;LC;96786;E;5;Branca;497;1;0
5;LC;97229;C;6;Branca;497;1;0
6;LC;97412;B;16;Branca;497;;0
7;LC;31871;C;11;Branca;497;;0
8;LC;89563;C;16;Branca;497;;0
9;LC;54762;B;15;Branca;497;;0
10;LC;98224;D;30;Branca;497;;0
11;LC;23160;B;27;Branca;497;;0
12;LC;86243;E;11;Branca;497;;0
13;LC;30102;E;9;Branca;497;;0
14;LC;86700;B;9;Branca;497;;0
15;LC;87157;A;16;Branca;497;;0
16;LC;96729;C;15;Branca;497;;0
17;LC;89496;E;15;Branca;497;;0
18;LC;56161;A;14;Branca;497;;0
19;LC;83856;E;30;Branca;497;;0
20;LC;77697;C;1;Branca;497;;0
21;LC;86194;A;18;Branca;497;;0
22;LC;83845;E;18;Branca;497;;0
23;LC;76784;B;1;Branca;497;;0
24;LC;25923;B;12;Branca;497;;0
25;LC;96873;E;12;Branca;497;;0
26;LC;97679;A;17;Branca;497;;0
27;LC;86761;C;22;Branca;497;;0
28;LC;98173;E;14;Branca;497;;0
29;LC;50016;E;18;Branca;497;;0
30;LC;81987;C;12;Branca;497;;0
31;LC;86600;B;1;Branca;497;;0
32;LC;61878;E;26;Branca;497;;0
33;LC;95682;C;4;Branca;497;;0
34;LC;84446;C;12;Branca;497;;0
35;LC;22904;E;15;Branca;497;;0
36;LC;85647;D;28;Branca;497;;0
37;LC;86449;E;23;Branca;497;;0
38;LC;22654;B;20;Branca;497;;0
39;LC;37758;D;24;Branca;497;;0
40;LC;16760;D;1;Branca;497;;0
41;LC;86504;E;28;Branca;497;;0
42;LC;67551;A;19;Branca;497;;0
43;LC;76042;E;1;Branca;497;;0
44;LC;27299;B;30;Branca;497;;0
45;LC;79142;E;21;Branca;497;;0
1;LC;90119;B;5;Rosa;498;0;0
2;LC;98220;D;7;Rosa;498;0;0
3;LC;90002;A;7;Rosa;498;0;0
4;LC;17817;A;6;Rosa;498;0;0
5;LC;17485;B;5;Rosa;498;0;0
1;LC;96786;E;5;Rosa;498;1;0
2;LC;97229;C;6;Rosa;498;1;0
3;LC;7212;A;6;Rosa;498;1;0
4;LC;61229;E;5;Rosa;498;1;0
5;LC;55933;C;6;Rosa;498;1;0
6;LC;76042;E;1;Rosa;498;;0
7;LC;23160;B;27;Rosa;498;;0
8;LC;86243;E;11;Rosa;498;;0
9;LC;30102;E;9;Rosa;498;;0
10;LC;86700;B;9;Rosa;498;;0
11;LC;87157;A;16;Rosa;498;;0
12;LC;96729;C;15;Rosa;498;;0
13;LC;89496;E;15;Rosa;498;;0
14;LC;31871;C;11;Rosa;498;;0
15;LC;89563;C;16;Rosa;498;;0
16;LC;54762;B;15;Rosa;498;;0
17;LC;98224;D;30;Rosa;498;;0
18;LC;86194;A;18;Rosa;498;;0
19;LC;83845;E;18;Rosa;498;;0
20;LC;76784;B;1;Rosa;498;;0
21;LC;25923;B;12;Rosa;498;;0
22;LC;50016;E;18;Rosa;498;;0
23;LC;81987;C;12;Rosa;498;;0
24;LC;86600;B;1;Rosa;498;;0
25;LC;97412;B;16;Rosa;498;;0
26;LC;98173;E;14;Rosa;498;;0
27;LC;56161;A;14;Rosa;498;;0
28;LC;83856;E;30;Rosa;498;;0
29;LC;77697;C;1;Rosa;498;;0
30;LC;96873;E;12;Rosa;498;;0
31;LC;97679;A;17;Rosa;498;;0
32;LC;86504;E;28;Rosa;498;;0
33;LC;67551;A;19;Rosa;498;;0
34;LC;86761;C;22;Rosa;498;;0
35;LC;27299;B;30;Rosa;498;;0
36;LC;79142;E;21;Rosa;498;;0
37;LC;61878;E;26;Rosa;498;;0
38;LC;95682;C;4;Rosa;498;;0
39;LC;84446;C;12;Rosa;498;;0
40;LC;22904;E;15;Rosa;498;;0
41;LC;85647;D;28;Rosa;498;;0
42;LC;86449;E;23;Rosa;498;;0
43;LC;22654;B;20;Rosa;498;;0
44;LC;37758;D;24;Rosa;498;;0
45;LC;16760;D;1;Rosa;498;;0
46;CH;95981;A;1;Azul;491;;0
47;CH;84204;B;28;Azul;491;;0
48;CH;97728;D;3;Azul;491;;0
49;CH;57396;A;4;Azul;491;;0
50;CH;87933;B;26;Azul;491;;0
51;CH;95827;E;27;Azul;491;;0
52;CH;83694;E;11;Azul;491;;0
53;CH;88301;B;27;Azul;491;;0
54;CH;88071;B;6;Azul;491;;0
55;CH;40718;B;7;Azul;491;;0
56;CH;43927;A;7;Azul;491;;0
57;CH;78160;A;8;Azul;491;;0
58;CH;42159;D;9;Azul;491;;0
59;CH;14801;B;10;Azul;491;;0
60;CH;96884;B;11;Azul;491;;0
61;CH;43527;D;12;Azul;491;;0
62;CH;24397;D;13;Azul;491;;0
63;CH;88814;C;13;Azul;491;;0
64;CH;96436;A;14;Azul;491;;0
65;CH;89182;D;19;Azul;491;;0
66;CH;88055;D;15;Azul;491;;0
67;CH;9367;A;16;Azul;491;;0
68;CH;89825;B;25;Azul;491;;0
69;CH;17780;D;17;Azul;491;;0
70;CH;87055;E;18;Azul;491;;0
71;CH;87233;D;16;Azul;491;;0
72;CH;83846;B;19;Azul;491;;0
73;CH;83910;A;15;Azul;491;;0
74;CH;85147;D;20;Azul;491;;0
75;CH;97631;C;20;Azul;491;;0
76;CH;87788;A;21;Azul;491;;0
77;CH;40158;D;22;Azul;491;;0
78;CH;96697;A;22;Azul;491;;0
79;CH;97278;D;23;Azul;491;;0
80;CH;57285;C;6;Azul;491;;0
81;CH;87095;B;24;Azul;491;;0
82;CH;85825;B;25;Azul;491;;0
83;CH;82656;E;2;Azul;491;;0
84;CH;26952;C;26;Azul;491;;0
85;CH;95242;D;5;Azul;491;;0
86;CH;96298;E;6;Azul;491;;0
87;CH;87510;C;28;Azul;491;;0
88;CH;12389;D;29;Azul;491;;0
89;CH;63741;D;30;Azul;491;;0
90;CH;89661;D;2;Azul;491;;0
46;CH;87933;B;26;Amarela;492;;0
47;CH;95827;E;27;Amarela;492;;0
48;CH;83694;E;11;Amarela;492;;0
49;CH;88301;B;27;Amarela;492;;0
50;CH;88071;B;6;Amarela;492;;0
51;CH;40718;B;7;Amarela;492;;0
52;CH;95242;D;5;Amarela;492;;0
53;CH;96298;E;6;Amarela;492;;0
54;CH;95981;A;1;Amarela;492;;0
55;CH;84204;B;28;Amarela;492;;0
56;CH;97728;D;3;Amarela;492;;0
57;CH;57396;A;4;Amarela;492;;0
58;CH;43927;A;7;Amarela;492;;0
59;CH;78160;A;8;Amarela;492;;0
60;CH;42159;D;9;Amarela;492;;0
61;CH;14801;B;10;Amarela;492;;0
62;CH;9367;A;16;Amarela;492;;0
63;CH;89825;B;25;Amarela;492;;0
64;CH;17780;D;17;Amarela;492;;0
65;CH;87055;E;18;Amarela;492;;0
66;CH;87788;A;21;Amarela;492;;0
67;CH;40158;D;22;Amarela;492;;0
68;CH;96697;A;22;Amarela;492;;0
69;CH;97278;D;23;Amarela;492;;0
70;CH;87510;C;28;Amarela;492;;0
71;CH;12389;D;29;Amarela;492;;0
72;CH;63741;D;30;Amarela;492;;0
73;CH;89661;D;2;Amarela;492;;0
74;CH;57285;C;6;Amarela;492;;0
75;CH;87095;B;24;Amarela;492;;0
76;CH;85825;B;25;Amarela;492;;0
77;CH;82656;E;2;Amarela;492;;0
78;CH;26952;C;26;Amarela;492;;0
79;CH;96436;A;14;Amarela;492;;0
80;CH;89182;D;19;Amarela;492;;0
81;CH;88055;D;15;Amarela;492;;0
82;CH;96884;B;11;Amarela;492;;0
83;CH;43527;D;12;Amarela;492;;0
84;CH;24397;D;13;Amarela;492;;0
85;CH;88814;C;13;Amarela;492;;0
86;CH;87233;D;16;Amarela;492;;0
87;CH;83846;B;19;Amarela;492;;0
88;CH;83910;A;15;Amarela;492;;0
89;CH;85147;D;20;Amarela;492;;0
90;CH;97631;C;20;Amarela;492;;0
46;CH;95242;D;5;Branca;493;;0
47;CH;96298;E;6;Branca;493;;0
48;CH;87510;C;28;Branca;493;;0
49;CH;12389;D;29;Branca;493;;0
50;CH;63741;D;30;Branca;493;;0
51;CH;89661;D;2;Branca;493;;0
52;CH;96436;A;14;Branca;493;;0
53;CH;89182;D;19;Branca;493;;0
54;CH;88055;D;15;Branca;493;;0
55;CH;87233;D;16;Branca;493;;0
56;CH;83846;B;19;Branca;493;;0
57;CH;83910;A;15;Branca;493;;0
58;CH;85147;D;20;Branca;493;;0
59;CH;97631;C;20;Branca;493;;0
60;CH;87788;A;21;Branca;493;;0
61;CH;40158;D;22;Branca;493;;0
62;CH;96697;A;22;Branca;493;;0
63;CH;97278;D;23;Branca;493;;0
64;CH;57285;C;6;Branca;493;;0
65;CH;87095;B;24;Branca;493;;0
66;CH;85825;B;25;Branca;493;;0
67;CH;82656;E;2;Branca;493;;0
68;CH;26952;C;26;Branca;493;;0
69;CH;9367;A;16;Branca;493;;0
70;CH;89825;B;25;Branca;493;;0
71;CH;17780;D;17;Branca;493;;0
72;CH;87055;E;18;Branca;493;;0
73;CH;96884;B;11;Branca;493;;0
74;CH;43527;D;12;Branca;493;;0
75;CH;24397;D;13;Branca;493;;0
76;CH;88814;C;13;Branca;493;;0
77;CH;43927;A;7;Branca;493;;0
78;CH;78160;A;8;Branca;493;;0
79;CH;42159;D;9;Branca;493;;0
80;CH;14801;B;10;Branca;493;;0
81;CH;95981;A;1;Branca;493;;0
82;CH;84204;B;28;Branca;493;;0
83;CH;97728;D;3;Branca;493;;0
84;CH;57396;A;4;Branca;493;;0
85;CH;88071;B;6;Branca;493;;0
86;CH;40718;B;7;Branca;493;;0
87;CH;87933;B;26;Branca;493;;0
88;CH;95827;E;27;Branca;493;;0
89;CH;83694;E;11;Branca;493;;0
90;CH;88301;B;27;Branca;493;;0
46;CH;87510;C;28;Rosa;494;;0
47;CH;12389;D;29;Rosa;494;;0
48;CH;63741;D;30;Rosa;494;;0
49;CH;89661;D;2;Rosa;494;;0
50;CH;96884;B;11;Rosa;494;;0
51;CH;43527;D;12;Rosa;494;;0
52;CH;24397;D;13;Rosa;494;;0
53;CH;88814;C;13;Rosa;494;;0
54;CH;96436;A;14;Rosa;494;;0
55;CH;89182;D;19;Rosa;494;;0
56;CH;88055;D;15;Rosa;494;;0
57;CH;95242;D;5;Rosa;494;;0
58;CH;96298;E;6;Rosa;494;;0
59;CH;9367;A;16;Rosa;494;;0
60;CH;89825;B;25;Rosa;494;;0
61;CH;17780;D;17;Rosa;494;;0
62;CH;87055;E;18;Rosa;494;;0
63;CH;57285;C;6;Rosa;494;;0
64;CH;87095;B;24;Rosa;494;;0
65;CH;85825;B;25;Rosa;494;;0
66;CH;82656;E;2;Rosa;494;;0
67;CH;26952;C;26;Rosa;494;;0
68;CH;87788;A;21;Rosa;494;;0
69;CH;40158;D;22;Rosa;494;;0
70;CH;96697;A;22;Rosa;494;;0
71;CH;97278;D;23;Rosa;494;;0
72;CH;43927;A;7;Rosa;494;;0
